CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,41110000,41310000,41510000,41190000,80110000,80210000,80410000,80420000,80490000,83510000,82310000,83310000,83220000,79910000,79970000,84120000,86610000
5550021.00,0021.00,555,London,B,35555,35,Ontario,0,0,0,0,31,12,10,5,8,0,0,0,6,3,0,0,11
5410010.00,0010.00,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,0,0,0,0,14,9,7,2,1,0,0,0,4,1,0,1,5
5350091.02,0091.02,535,Toronto,B,35535,35,Ontario,0,0,0,1,6,2,3,0,6,3,0,0,2,3,0,0,3
5800161.01,0161.01,580,Greater Sudbury / Grand Sudbury,B,35580,35,Ontario,0,0,0,0,0,4,1,3,3,3,0,0,3,3,0,0,3
2050120.00,0120.00,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3
4620659.06,0659.06,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,1,0,4,0,2,3,0,0,2,1,0,0,5
5500001.02,0001.02,550,Guelph,B,35550,35,Ontario,0,0,0,0,3,2,0,0,0,2,0,0,0,1,0,0,1
5050151.08,0151.08,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,1,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,2
4620410.02,0410.02,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,2,10
4620863.01,0863.01,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
5350128.02,0128.02,535,Toronto,B,35535,35,Ontario,0,0,0,0,8,19,5,3,17,3,0,0,9,3,0,0,6
6020100.01,0100.01,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,2,3,2,2,0,2,0,0,0,1,0,0,0
5350412.15,0412.15,535,Toronto,B,35535,35,Ontario,0,0,0,3,0,3,0,1,1,6,0,0,0,5,1,0,6
4620734.05,0734.05,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0
5350341.04,0341.04,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
5390203.02,0203.02,539,St. Catharines - Niagara,B,35539,35,Ontario,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
4620073.00,0073.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,4
9350111.01,0111.01,935,Victoria,B,59935,59,British Columbia / Colombie-Britannique,0,0,0,0,3,2,0,0,1,0,0,0,1,2,2,0,5
5350363.04,0363.04,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
7050101.01,0101.01,705,Regina,B,47705,47,Saskatchewan,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,13
8050200.00,0200.00,805,Medicine Hat,K,48805,48,Alberta,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,9
6020051.01,0051.01,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
5350513.01,0513.01,535,Toronto,B,35535,35,Ontario,0,0,0,3,0,6,0,0,2,0,0,0,1,1,2,2,4
5220006.00,0006.00,522,Belleville,K,35522,35,Ontario,1,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,6
4620131.00,0131.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
9330147.01,0147.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,8
5350403.07,0403.07,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
9330187.14,0187.14,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,2,6,6,0,1,2,2,0,0,2,0,0,0,6
5350442.03,0442.03,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,4,0,0,1,1,0,0,3,1,0,0,0
5350377.07,0377.07,535,Toronto,B,35535,35,Ontario,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,2
5550006.05,0006.05,555,London,B,35555,35,Ontario,0,0,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0
9330203.00,0203.00,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,6
4620781.00,0781.00,462,Montréal,B,24462,24,Quebec / Québec,1,0,0,1,18,14,3,12,49,9,0,0,9,9,0,3,9
4620637.01,0637.01,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,2,3,1,1,5,3,0,0,0,2,0,0,1
7050026.00,0026.00,705,Regina,B,47705,47,Saskatchewan,1,0,0,0,4,4,2,0,1,2,1,0,1,2,0,0,7
8350075.11,0075.11,835,Edmonton,B,48835,48,Alberta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6020040.00,0040.00,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,8
5620010.00,0010.00,562,Sarnia,K,35562,35,Ontario,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,7
5210107.00,0107.00,521,Kingston,B,35521,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
5350412.23,0412.23,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
9330134.00,0134.00,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,1,3,0,4,1,3,0,0,5,1,2,1,1
6020047.00,0047.00,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,4,2,0,0,1,2,1,0,0,1,0,2,4
8350051.02,0051.02,835,Edmonton,B,48835,48,Alberta,0,0,0,3,0,0,0,0,2,1,0,0,3,0,0,1,0
5350140.00,0140.00,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4590010.00,0010.00,459,Saint-Jean-sur-Richelieu,K,24459,24,Quebec / Québec,2,1,0,0,0,4,0,1,4,4,0,0,2,1,0,0,0
4620648.00,0648.00,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,3,0,0,2,4,0,0,0,0,0,0,0
5350591.01,0591.01,535,Toronto,B,35535,35,Ontario,0,0,0,1,0,2,2,1,2,1,1,0,0,1,0,0,6
5350576.17,0576.17,535,Toronto,B,35535,35,Ontario,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2050140.00,0140.00,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
9330403.05,0403.05,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,9
9320005.01,0005.01,932,Abbotsford - Mission,B,59932,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8
5320014.01,0014.01,532,Oshawa,B,35532,35,Ontario,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,7
5320009.04,0009.04,532,Oshawa,B,35532,35,Ontario,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3
5350311.05,0311.05,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1
5350244.02,0244.02,535,Toronto,B,35535,35,Ontario,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
6020101.02,0101.02,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,0,0,1,3,2,3,0,0,0,2,0,2,4
3200007.00,0007.00,320,Fredericton,K,13320,13,New Brunswick / Nouveau-Brunswick,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
9330116.00,0116.00,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,0,0,1,2,0,0,5,1,0,0,3
5050103.00,0103.00,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,1
6020102.02,0102.02,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,7
0010006.00,0006.00,001,St. John's,B,10001,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,2,0,0,18,72,27,7,8,22,9,11,1,30,24,11,13,34
4620515.04,0515.04,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1
5410013.00,0013.00,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,5
5350564.02,0564.02,535,Toronto,B,35535,35,Ontario,0,0,0,1,34,8,0,0,2,0,0,0,0,0,0,0,3
5350003.00,0003.00,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
