CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,82110000,82210000,82220000,82440000,82990000,51410000,54110000,54210000,54310000,54510000,54610000,92240000,92210000,79990000
5550021,21,555,London,B,35555,35,Ontario,5,1,0,0,8,0,1,0,0,0,1,0,0,2
5410010,10,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,3,0,0,0,4,0,9,1,0,0,1,0,0,3
5350091.02,91.02,535,Toronto,B,35535,35,Ontario,0,0,0,0,7,0,6,0,1,0,1,0,0,0
5800161.01,161.01,580,Greater Sudbury / Grand Sudbury,B,35580,35,Ontario,9,0,0,0,0,0,3,1,0,0,0,0,0,2
2050120,120,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,2,0,0,0,0,0,0,0,0,0,0,2,0,6
4620659.06,659.06,462,Montréal,B,24462,24,Quebec / Québec,2,2,0,0,2,0,3,0,0,0,1,2,1,0
5500001.02,1.02,550,Guelph,B,35550,35,Ontario,5,0,0,0,5,0,1,0,0,0,0,0,0,0
5050151.08,151.08,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,4,0,0,0,0,0,0,0,0,0,0,0,0,2
4620410.02,410.02,462,Montréal,B,24462,24,Quebec / Québec,3,2,2,0,3,0,3,0,1,0,1,0,0,1
4620863.01,863.01,462,Montréal,B,24462,24,Quebec / Québec,2,1,0,0,0,0,1,1,0,0,0,0,0,0
5350128.02,128.02,535,Toronto,B,35535,35,Ontario,6,5,0,0,15,0,3,0,1,0,2,0,0,3
6020100.01,100.01,602,Winnipeg,B,46602,46,Manitoba,5,0,0,0,0,0,0,0,0,0,1,0,0,0
5350412.15,412.15,535,Toronto,B,35535,35,Ontario,8,0,0,0,3,1,1,1,0,0,1,0,0,3
4620734.05,734.05,462,Montréal,B,24462,24,Quebec / Québec,1,0,0,0,1,0,2,0,0,0,0,0,0,1
5350341.04,341.04,535,Toronto,B,35535,35,Ontario,4,2,0,0,0,0,1,0,0,0,0,0,0,0
5390203.02,203.02,539,St. Catharines - Niagara,B,35539,35,Ontario,2,0,0,0,2,0,3,0,0,0,0,1,2,1
4620073,73,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,4,1,0,0,0,0,0,2,0,1
9350111.01,111.01,935,Victoria,B,59935,59,British Columbia / Colombie-Britannique,5,0,0,0,1,0,4,0,0,0,0,0,2,3
5350363.04,363.04,535,Toronto,B,35535,35,Ontario,1,1,0,0,1,0,2,0,1,0,0,0,0,0
7050101.01,101.01,705,Regina,B,47705,47,Saskatchewan,4,2,0,0,2,1,3,0,0,0,0,2,0,3
8050200,200,805,Medicine Hat,K,48805,48,Alberta,29,0,0,0,1,0,1,2,0,0,0,7,0,4
6020051.01,51.01,602,Winnipeg,B,46602,46,Manitoba,2,0,0,0,0,0,0,0,1,0,0,0,0,0
5350513.01,513.01,535,Toronto,B,35535,35,Ontario,8,1,0,0,2,0,0,1,1,0,1,0,0,3
5220006,6,522,Belleville,K,35522,35,Ontario,7,0,0,0,2,0,4,1,0,0,0,1,0,1
4620131,131,462,Montréal,B,24462,24,Quebec / Québec,1,2,0,0,1,0,2,0,0,0,0,0,0,0
9330147.01,147.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,3,0,0,0,1,0,1,0,0,0,0,0,0,0
5350403.07,403.07,535,Toronto,B,35535,35,Ontario,2,0,0,0,0,0,0,1,0,0,0,0,0,0
9330187.14,187.14,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,0,0,2,0,1,0,0,0,0,1
5350442.03,442.03,535,Toronto,B,35535,35,Ontario,1,1,0,0,2,0,1,0,0,0,0,0,0,0
5350377.07,377.07,535,Toronto,B,35535,35,Ontario,3,0,0,0,0,0,0,0,0,0,1,0,0,0
5550006.05,6.05,555,London,B,35555,35,Ontario,1,1,0,0,1,0,0,0,0,0,0,0,0,0
9330203,203,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,2,0,0,0,1,0,2,0,0,0,0,0,0,0
4620781,781,462,Montréal,B,24462,24,Quebec / Québec,7,5,2,0,12,2,8,3,0,0,3,1,1,9
4620637.01,637.01,462,Montréal,B,24462,24,Quebec / Québec,1,0,0,0,2,0,5,0,1,0,0,0,0,2
7050026,26,705,Regina,B,47705,47,Saskatchewan,2,31,0,0,0,0,1,1,0,0,0,1,0,6
8350075.11,75.11,835,Edmonton,B,48835,48,Alberta,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6020040,40,602,Winnipeg,B,46602,46,Manitoba,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5620010,10,562,Sarnia,K,35562,35,Ontario,7,0,0,0,1,0,0,0,0,0,0,0,0,0
5210107,107,521,Kingston,B,35521,35,Ontario,2,0,0,0,0,0,0,0,0,0,0,1,0,0
5350412.23,412.23,535,Toronto,B,35535,35,Ontario,2,0,0,0,0,0,2,0,0,0,0,0,0,0
9330134,134,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,7,1,0,0,7,0,4,0,0,0,0,1,0,3
6020047,47,602,Winnipeg,B,46602,46,Manitoba,11,0,0,0,0,0,2,1,0,0,0,0,0,1
8350051.02,51.02,835,Edmonton,B,48835,48,Alberta,1,0,0,0,6,2,4,0,0,0,1,4,1,4
5350140,140,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4590010,10,459,Saint-Jean-sur-Richelieu,K,24459,24,Quebec / Québec,1,0,0,0,3,0,2,0,0,0,0,2,2,0
4620648,648,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,2,0,2,0,0,0,3,0,0,0
5350591.01,591.01,535,Toronto,B,35535,35,Ontario,7,0,0,0,5,0,3,2,0,0,1,1,0,2
5350576.17,576.17,535,Toronto,B,35535,35,Ontario,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2050140,140,205,Halifax,B,12205,12,Nova Scotia / Nouvelle-Écosse,5,0,0,0,1,0,1,0,1,0,0,4,0,30
9330403.05,403.05,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,7,1,0,0,0,0,0,0,0,0,0,1,0,0
9320005.01,5.01,932,Abbotsford - Mission,B,59932,59,British Columbia / Colombie-Britannique,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5320014.01,14.01,532,Oshawa,B,35532,35,Ontario,3,0,0,0,2,0,0,0,0,1,0,0,0,0
5320009.04,9.04,532,Oshawa,B,35532,35,Ontario,5,0,0,0,3,0,0,0,0,0,0,0,0,0
5350311.05,311.05,535,Toronto,B,35535,35,Ontario,2,0,0,0,0,0,1,0,0,0,0,0,0,0
5350244.02,244.02,535,Toronto,B,35535,35,Ontario,4,1,0,0,0,0,3,0,0,0,0,0,0,2
6020101.02,101.02,602,Winnipeg,B,46602,46,Manitoba,5,0,0,0,1,0,1,2,0,0,0,0,0,2
3200007,7,320,Fredericton,K,13320,13,New Brunswick / Nouveau-Brunswick,2,2,0,0,0,0,1,0,0,0,0,0,0,1
9330116,116,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,3,0,0,0,1,0,5,0,0,0,0,0,0,0
5050103,103,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,0,0,3,1,0,0,0,2,0,1
6020102.02,102.02,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,2,0,1,0,0,0,0,1,0,0
10006,6,1,St. John's,B,10001,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,5,6,0,0,31,3,24,4,0,2,4,1,3,41
4620515.04,515.04,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5410013,13,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,5,0,0,0,3,0,0,0,0,0,0,0,0,2
5350564.02,564.02,535,Toronto,B,35535,35,Ontario,3,0,0,0,2,0,1,0,0,0,0,0,0,0
5350003,3,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5390011,11,539,St. Catharines - Niagara,B,35539,35,Ontario,4,0,0,0,4,0,5,0,0,0,0,0,0,1
5410123.01,123.01,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,2,0,0,0,2,0,1,0,0,0,0,0,0,1
5350018,18,535,Toronto,B,35535,35,Ontario,2,0,0,0,3,0,2,0,0,0,2,0,0,1
9330502.07,502.07,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,8,1,0,0,0,0,1,0,0,0,0,0,1,0
5950023.01,23.01,595,Thunder Bay,B,35595,35,Ontario,2,0,0,0,0,0,1,0,0,0,0,0,0,3
5050810.01,810.01,505,Ottawa - Gatineau (partie du Québec / Quebec part),B,24505,24,Quebec / Québec,3,0,0,0,1,0,4,1,0,0,0,0,0,1
5370026.03,26.03,537,Hamilton,B,35537,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5370003.01,3.01,537,Hamilton,B,35537,35,Ontario,2,1,0,0,1,0,0,0,0,0,0,0,0,0
5350442.04,442.04,535,Toronto,B,35535,35,Ontario,2,0,0,0,2,0,0,0,0,0,1,0,0,1
5350576.09,576.09,535,Toronto,B,35535,35,Ontario,3,0,0,0,5,0,3,0,0,0,0,1,0,1
7050005,5,705,Regina,B,47705,47,Saskatchewan,4,3,0,0,3,0,2,0,0,0,0,0,1,1
5350613.04,613.04,535,Toronto,B,35535,35,Ontario,3,2,0,0,32,1,6,0,0,0,1,0,0,7
